Name,Email,City,Website,Phone,,
Personal Training in Los Angeles with Luke Sholl,lukesholl@gmail.com,los angeles,www.TrainHollywood.com,.,,"Fitness Leads (small gyms/ personal trainer/fitness coach)  for cities in several cities in NC, CA, FL, and MI"
Perfect Body Inc - Personal Trainer Los Angeles,shawn@perfectbodyinc.com,los angeles,shawnphillipstraining.com,(310) 720-8125,,
Personal Trainer Los Angeles - Ultimate Health,ultimatehlth@aol.com,los angeles,www.ultimatehlth.com,(323) 874-7166,,
Crossfit Ganbatte,info@crossfitganbatte.com,los angeles,www.crossfitganbatte.com,(323) 739-9138,,
Transformation Fitness Academy,info@transformationfitnessacademy.com,los angeles,...,(310) 253-9153,,
Body by Simone Brentwood,brentwood@bodybysimone.com,los angeles,www.bodybysimone.com,(310) 440-0003,,
Eagle Rock Jiu Jitsu Academy,erockbjj@gmail.com,los angeles,eaglerockbjj.com,(310) 907-6231,,
Angelino Crossfit,karlos@angelinocrossfit.com,los angeles,angelinocrossfit.com,(818) 284-4805,,
Sports Training Los Angeles,sportstrainingla@gmail.com,los angeles,www.sportstraininglosangeles.com,(831) 435-6581,,
"Boot Camp ""Morning Crunch"" 12 locations is LA/Valley/Beach areas",info@morningcrunch.com,los angeles,www.MorningCrunch.com/,(310) 408-0949,,
Vagastar Gym,jasonvaga@gmail.com,los angeles,vagastargym.com/,(310) 902-8590,,
CrossFit 323,info@crossfit323.com,los angeles,crossfit323.com/,(323) 828-8531,,
Hollywood Fit Body Boot Camp,info@hollywoodfitbody.com,los angeles,...,(323) 736-0833,,
Panther Martial Arts & Family fitness,info@pantherenergyla.com,los angeles,www.pantherla.com/,(323) 301-8855,,
KGB Fitness Inc.,kendra@kgbfitness.com,los angeles,www.kgbfitness.com,(323) 686-1542,,
Tzarina Longfellow Fitness,tzarina@lockboxla.com,los angeles,www.instagram.com/zeelo/,(310) 869-3958,,
Sterling Basketball Academy,sterlingbasketballacademy@gmail.com,los angeles,www.sterlingbasketballacademy.com,(310) 819-0017,,
